"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11"
"146" 0.730000000000003 0.145 0.304 0.004325 1.0145 0.0032 73.91 4.85 0.08004448 1651.35 0.00131195
"147" 0.513999999999996 0.136 0.2942 0.00446 1.0136 0.00311 76.448 4.82 0.077376804 1709.28 0.00108436
"148" 0.297999999999998 0.127 0.2844 0.004595 1.0127 0.00302 78.986 4.79 0.074709128 1767.21 0.000856770000000001
"149" 0.118000000000001 0.118 0.2746 0.00473 1.0118 0.00293 81.524 4.76 0.072041452 1825.14 0.00062918
"150" 0.334 0.109 0.2648 0.004865 1.0109 0.00284 84.062 4.73 0.069373776 1883.07 0.000401589999999989
"151" 0.549999999999999 0.1 0.255 0.005 1.01 0.00275 86.6 4.7 0.0667061 1941 0.000174
"152" 0.766000000000006 0.109000000000001 0.2452 0.004865 1.0109 0.00266 84.0619999999999 4.73 0.064038424 1883.07 0.000401590000000014
"153" 0.982 0.118 0.2354 0.00473 1.0118 0.00257 81.524 4.76 0.061370748 1825.14 0.00062918
"154" 0.801999999999997 0.127 0.2256 0.004595 1.0127 0.00248 78.986 4.79 0.058703072 1767.21 0.000856770000000001
"155" 0.586000000000002 0.136 0.2158 0.00446 1.0136 0.00239 76.448 4.82 0.056035396 1709.28 0.00108436
"156" 0.369999999999999 0.145 0.206 0.004325 1.0145 0.0023 73.91 4.85 0.05336772 1651.35 0.00131195
"157" 0.153999999999996 0.154 0.1962 0.00419 1.0154 0.00221 71.372 4.88 0.050700044 1593.42 0.00153954
"158" 0.262000000000002 0.163 0.1864 0.004055 1.0163 0.00212 68.834 4.91 0.048032368 1535.49 0.00176713
"159" 0.478000000000001 0.172 0.1766 0.00392 1.0172 0.00203 66.296 4.94 0.045364692 1477.56 0.00199472
"160" 0.694 0.181 0.1668 0.003785 1.0181 0.00194 63.758 4.97 0.042697016 1419.63 0.00222231
"161" 0.909999999999999 0.19 0.157 0.00365 1.019 0.00185 61.22 5 0.04002934 1361.7 0.0024499
"162" 0.873999999999998 0.199 0.1472 0.003515 1.0199 0.00176 58.682 5.03 0.0373616639999999 1303.77 0.00267749
"163" 0.657999999999996 0.208 0.1374 0.00338 1.0208 0.00167 56.1439999999999 5.06 0.034693988 1245.84 0.00290508
"164" 0.442000000000001 0.217 0.1276 0.003245 1.0217 0.00158 53.606 5.09 0.032026312 1187.91 0.00313267
"165" 0.225999999999998 0.226 0.1178 0.00311 1.0226 0.00149 51.068 5.12 0.029358636 1129.98 0.00336026
"166" 0.190000000000005 0.235 0.108 0.002975 1.0235 0.0014 48.5299999999999 5.15 0.0266909599999999 1072.05 0.00358785
"167" 0.406000000000003 0.244 0.0981999999999998 0.00284 1.0244 0.00131 45.992 5.18 0.024023284 1014.12 0.00381544
"168" 0.622000000000002 0.253 0.0883999999999999 0.002705 1.0253 0.00122 43.454 5.21 0.021355608 956.189999999999 0.00404303
"169" 0.838000000000001 0.262 0.0785999999999999 0.00257 1.0262 0.00113 40.916 5.24 0.018687932 898.26 0.00427062
"170" 0.946 0.271 0.0688 0.002435 1.0271 0.00104 38.378 5.27 0.016020256 840.33 0.00449821
"171" 0.729999999999997 0.28 0.0589999999999998 0.0023 1.028 0.000949999999999998 35.84 5.3 0.0133525799999999 782.399999999999 0.0047258
"172" 0.513999999999995 0.289 0.0491999999999998 0.002165 1.0289 0.000859999999999998 33.3019999999999 5.33 0.0106849039999999 724.469999999998 0.00495339
"173" 0.298 0.298 0.0393999999999999 0.00203 1.0298 0.000769999999999999 30.764 5.36 0.00801722799999996 666.54 0.00518098
"174" 0.118000000000003 0.307 0.0295999999999999 0.001895 1.0307 0.000679999999999999 28.226 5.39 0.00534955199999997 608.609999999999 0.00540857
"175" 0.333999999999998 0.316 0.0198 0.00176 1.0316 0.00059 25.688 5.42 0.002681876 550.680000000001 0.00563616
"176" 0.550000000000001 0.325 0.01 0.001625 1.0325 5e-04 23.15 5.45 1.42e-05 492.75 0.00586375
"177" 0.766000000000003 0.334 0.0198000000000003 0.00149 1.0334 0.000590000000000003 20.612 5.48 0.00268187600000008 434.819999999999 0.00609134
"178" 0.982000000000006 0.343 0.0296 0.001355 1.0343 0.00068 18.0739999999999 5.51 0.00534955200000001 376.889999999998 0.00631893
"179" 0.801999999999999 0.352 0.0394 0.00122 1.0352 0.00077 15.536 5.54 0.00801722800000001 318.96 0.00654652
"180" 0.586000000000004 0.361 0.0492 0.001085 1.0361 0.00086 12.9980000000001 5.57 0.010684904 261.030000000001 0.00677411
"181" 0.369999999999993 0.37 0.0590000000000002 0.000949999999999996 1.037 0.000950000000000002 10.4599999999999 5.6 0.01335258 203.099999999998 0.0070017
"182" 0.153999999999999 0.379 0.0688000000000002 0.000814999999999999 1.0379 0.00104 7.92199999999998 5.63 0.016020256 145.169999999999 0.00722929
"183" 0.262000000000004 0.388 0.0786000000000001 0.000679999999999997 1.0388 0.00113 5.38399999999994 5.66 0.018687932 87.2399999999986 0.00745688
"184" 0.477999999999999 0.397 0.0884 0.000545000000000003 1.0397 0.00122 2.84600000000005 5.69 0.021355608 29.3100000000012 0.00768447
"185" 0.694000000000002 0.406 0.0982 0.00059 1.0406 0.00131 3.692 5.72 0.024023284 48.62 0.00791206
"186" 0.910000000000004 0.415 0.108 0.000725000000000003 1.0415 0.0014 6.23000000000005 5.75 0.0266909600000001 106.550000000001 0.00813965000000001
"187" 0.873999999999993 0.424 0.1178 0.000860000000000005 1.0424 0.00149 8.76800000000009 5.78 0.029358636 164.480000000002 0.00836724
"188" 0.657999999999998 0.433 0.1276 0.000995000000000001 1.0433 0.00158 11.306 5.81 0.032026312 222.410000000001 0.00859483
"189" 0.442000000000003 0.442 0.1374 0.00113 1.0442 0.00167 13.844 5.84 0.034693988 280.339999999999 0.00882242
"190" 0.226 0.451 0.1472 0.001265 1.0451 0.00176 16.382 5.87 0.037361664 338.27 0.00905001
"191" 0.190000000000003 0.46 0.157 0.0014 1.046 0.00185 18.92 5.9 0.0400293400000001 396.200000000001 0.00927760000000001
"192" 0.406000000000005 0.469 0.1668 0.001535 1.0469 0.00194 21.4580000000001 5.93 0.042697016 454.130000000001 0.00950519
"193" 0.622 0.478 0.1766 0.00167 1.0478 0.00203 23.996 5.96 0.045364692 512.06 0.00973278
"194" 0.838000000000003 0.487 0.1864 0.001805 1.0487 0.00212 26.534 5.99 0.048032368 569.990000000001 0.00996037
"195" 0.946000000000003 0.496 0.1962 0.00194 1.0496 0.00221 29.072 6.02 0.050700044 627.919999999999 0.01018796
"196" 0.729999999999991 0.505 0.206 0.00207500000000001 1.0505 0.0023 31.6100000000001 6.05 0.05336772 685.850000000002 0.01041555
"197" 0.513999999999997 0.514 0.2158 0.00221 1.0514 0.00239 34.148 6.08 0.056035396 743.780000000001 0.01064314
"198" 0.298000000000002 0.523 0.2256 0.002345 1.0523 0.00248 36.686 6.11 0.058703072 801.709999999999 0.01087073
"199" 0.118000000000001 0.532 0.2354 0.00248 1.0532 0.00257 39.224 6.14 0.061370748 859.64 0.01109832
"200" 0.334000000000004 0.541 0.2452 0.002615 1.0541 0.00266 41.762 6.17 0.064038424 917.570000000001 0.01132591
"201" 0.55 0.55 0.255 0.00275 1.055 0.00275 44.3 6.2 0.0667061 975.5 0.0115535
"202" 0.559 0.766 0.2648 0.002885 1.0559 0.00284 46.838 6.23 0.069373776 1033.43 0.01178109
"203" 0.568 0.982 0.2746 0.00302 1.0568 0.00293 49.376 6.26 0.072041452 1091.36 0.01200868
"204" 0.577 0.802 0.2844 0.003155 1.0577 0.00302 51.914 6.29 0.074709128 1149.29 0.01223627
"205" 0.586 0.586 0.2942 0.00329 1.0586 0.00311 54.452 6.32 0.077376804 1207.22 0.01246386
"206" 0.595 0.37 0.304 0.003425 1.0595 0.0032 56.99 6.35 0.08004448 1265.15 0.01269145
"207" 0.604 0.154 0.3138 0.00356 1.0604 0.00329 59.528 6.38 0.082712156 1323.08 0.01291904
"208" 0.613 0.262 0.3236 0.003695 1.0613 0.00338 62.066 6.41 0.085379832 1381.01 0.01314663
"209" 0.622 0.478 0.3334 0.00383 1.0622 0.00347 64.604 6.44 0.088047508 1438.94 0.01337422
"210" 0.631 0.694 0.3432 0.003965 1.0631 0.00356 67.142 6.47 0.090715184 1496.87 0.01360181
"211" 0.64 0.91 0.353 0.0041 1.064 0.00365 69.68 6.5 0.09338286 1554.8 0.0138294
"212" 0.649 0.874 0.3628 0.004235 1.0649 0.00374 72.218 6.53 0.096050536 1612.73 0.01405699
