gw_mix	percop	ratem	kex	kt	kdif	DTsoil 	DTwater	Kpwater	Kpsoil	Kpsed
0.262	0.226	0.2354	0.00131	1.0226	0.00419	40.916	5.24	0.0186879 	898.26	0.00427062
0.451	0.352	0.0933	0.002255	1.0352	0.001265	34.994	5.54	0.0226894 	280.34	0.00905001
0.946	0.442	0.0982	0.00473	1.0442	0.00131	81.524	5.84	0.0080172 	357.58	0.02156746
0.397	0.478	0.0884	0.000545	1.0397	0.00122	2.846	5.69	0.0213556 	29.31	0.00768447
0.433	0.316	0.0639	0.002165	1.0316	0.000995	33.302	5.42	0.0146864 	1207.22	0.00859483
0.433	0.316	0.3138	0.000995	1.0433	0.00158	11.306	5.81	0.0320263 	222.41	0.00859483
0.352	0.946	0.0884	0.00176	1.0946	0.00122	25.688	7.52	0.0293586 	318.96	0.00654652
0.271	0.892	0.2207	0.001355	1.0892	0.002435	18.074	7.34	0.0573692 	125.86	0.00449821
0.154	0.721	0.0688	0.004685	1.0721	0.00104	80.678	6.77	0.0160203 	1805.83	0.01587771
0.424	0.298	0.0492	0.00212	1.0298	0.00086	32.456	7.28	0.0293586 	164.48	0.00836724
0.343	0.964	0.1031	0.001715	1.0964	0.001355	24.842	7.58	0.0253571 	531.37	0.00062918
0.415	0.28	0.0345	0.00455	1.0415	0.0014	6.23	5.75	0.0266910 	106.55	0.00813965
0.748	0.154	0.4216	0.00374	1.0154	0.00428	62.912	7.04	0.0080172 	1632.04	0.01656048
0.262	0.226	0.2354	0.00131	1.0838	0.00113	40.916	5.24	0.0186879 	898.26	0.00427062
0.748	0.154	0.4216	0.00374	1.0154	0.00401	73.064	6.86	0.0080172 	1632.04	0.01656048
